,rssi_0,eta_1,eta_2,eta_3,eta_4
10400,67,3.27388069319,7.63029039019,9.84296407611,0.711837592459
10401,67,3.27388069319,7.63029039019,9.84296407611,0.711837592459
10402,67,3.27388069319,7.63029039019,9.84296407611,0.711837592459
10403,67,3.27388069319,7.63029039019,9.84296407611,0.711837592459
10404,68,3.27388069319,7.63029039019,9.84296407611,0.711837592459
10405,68,3.27388069319,7.35282528509,9.84296407611,0.474558394973
10406,68,3.27388069319,7.35282528509,9.84296407611,0.474558394973
10407,67,3.27388069319,7.35282528509,9.84296407611,0.474558394973
10408,67,3.27388069319,7.35282528509,9.84296407611,0.474558394973
10409,67,3.27388069319,7.35282528509,9.84296407611,0.474558394973
10410,65,3.92865683183,7.63029039019,9.84296407611,0.0
10411,64,3.92865683183,7.63029039019,9.84296407611,0.0
10412,63,3.92865683183,7.63029039019,9.84296407611,0.0
10413,63,3.92865683183,7.63029039019,9.84296407611,0.0
10414,63,3.92865683183,7.63029039019,9.84296407611,0.0
10415,63,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10416,64,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10417,65,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10418,65,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10419,65,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10420,66,3.27388069319,6.93662762745,9.63353930853,0.237279197486
10421,66,3.27388069319,6.93662762745,9.63353930853,0.237279197486
10422,66,3.27388069319,6.93662762745,9.63353930853,0.237279197486
10423,66,3.27388069319,6.93662762745,9.63353930853,0.237279197486
10424,66,3.27388069319,6.93662762745,9.63353930853,0.237279197486
10425,66,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10426,66,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10427,68,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10428,68,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10429,68,3.27388069319,7.63029039019,10.0523888437,0.237279197486
10430,70,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10431,70,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10432,70,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10433,70,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10434,70,3.27388069319,7.63029039019,9.84296407611,0.237279197486
10435,70,3.27388069319,7.63029039019,10.0523888437,0.0
10436,70,3.27388069319,7.63029039019,10.0523888437,0.0
10437,72,3.27388069319,7.63029039019,10.0523888437,0.0
10438,72,3.27388069319,7.63029039019,10.0523888437,0.0
10439,72,3.27388069319,7.63029039019,10.0523888437,0.0
10440,73,3.27388069319,7.63029039019,9.63353930853,0.474558394973
10441,74,3.27388069319,7.63029039019,9.63353930853,0.474558394973
10442,75,3.27388069319,7.63029039019,9.63353930853,0.474558394973
10443,75,3.27388069319,7.63029039019,9.63353930853,0.474558394973
10444,75,3.27388069319,7.63029039019,9.63353930853,0.474558394973
10445,74,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10446,73,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10447,73,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10448,72,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10449,72,3.27388069319,7.63029039019,9.63353930853,0.237279197486
10450,72,3.40483592092,7.76902294274,9.42411454096,0.237279197486
10451,74,3.40483592092,7.76902294274,9.42411454096,0.237279197486
10452,75,3.40483592092,7.76902294274,9.42411454096,0.237279197486
10453,75,3.40483592092,7.76902294274,9.42411454096,0.237279197486
10454,68,3.40483592092,7.76902294274,9.42411454096,0.237279197486
10455,66,3.40483592092,7.63029039019,9.42411454096,-0.949116789946
10456,65,3.40483592092,7.63029039019,9.42411454096,-0.949116789946
10457,67,3.40483592092,7.63029039019,9.42411454096,-0.949116789946
10458,68,3.40483592092,7.63029039019,9.42411454096,-0.949116789946
10459,68,3.40483592092,7.63029039019,9.42411454096,-0.949116789946
10460,69,3.27388069319,8.04648804784,9.42411454096,-0.474558394973
10461,69,3.27388069319,8.04648804784,9.42411454096,-0.474558394973
10462,69,3.27388069319,8.04648804784,9.42411454096,-0.474558394973
10463,70,3.27388069319,8.04648804784,9.42411454096,-0.474558394973
10464,71,3.27388069319,8.04648804784,9.42411454096,-0.474558394973
10465,72,3.40483592092,8.32395315294,9.42411454096,0.0
10466,73,3.40483592092,8.32395315294,9.42411454096,0.0
10467,74,3.40483592092,8.32395315294,9.42411454096,0.0
10468,78,3.40483592092,8.32395315294,9.42411454096,0.0
10469,78,3.40483592092,8.32395315294,9.42411454096,0.0
10470,78,3.27388069319,8.32395315294,9.42411454096,0.0
10471,79,3.27388069319,8.32395315294,9.42411454096,0.0
10472,82,3.27388069319,8.32395315294,9.42411454096,0.0
10473,83,3.27388069319,8.32395315294,9.42411454096,0.0
10474,83,3.27388069319,8.32395315294,9.42411454096,0.0
10475,82,3.27388069319,8.04648804784,9.0052650058,0.0
10476,82,3.27388069319,8.04648804784,9.0052650058,0.0
10477,77,3.27388069319,8.04648804784,9.0052650058,0.0
10478,75,3.27388069319,8.04648804784,9.0052650058,0.0
10479,76,3.27388069319,8.04648804784,9.0052650058,0.0
10480,73,3.27388069319,8.18522060039,8.37699070307,0.474558394973
10481,73,3.27388069319,8.18522060039,8.37699070307,0.474558394973
10482,72,3.27388069319,8.18522060039,8.37699070307,0.474558394973
10483,72,3.27388069319,8.18522060039,8.37699070307,0.474558394973
10484,72,3.27388069319,8.18522060039,8.37699070307,0.474558394973
10485,72,3.27388069319,8.32395315294,9.0052650058,0.474558394973
10486,72,3.27388069319,8.32395315294,9.0052650058,0.474558394973
10487,71,3.27388069319,8.32395315294,9.0052650058,0.474558394973
10488,71,3.27388069319,8.32395315294,9.0052650058,0.474558394973
10489,71,3.27388069319,8.32395315294,9.0052650058,0.474558394973
10490,71,3.27388069319,8.32395315294,8.79584023823,-0.237279197486
10491,71,3.27388069319,8.32395315294,8.79584023823,-0.237279197486
10492,71,3.27388069319,8.32395315294,8.79584023823,-0.237279197486
10493,71,3.27388069319,8.32395315294,8.79584023823,-0.237279197486
10494,71,3.27388069319,8.32395315294,8.79584023823,-0.237279197486
10495,71,3.27388069319,8.60141825804,8.37699070307,0.0
10496,71,3.27388069319,8.60141825804,8.37699070307,0.0
10497,71,3.27388069319,8.60141825804,8.37699070307,0.0
